"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX21985525","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060749","","4166.17","1","34482877","10355658318","MARCO 039 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985524","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060747","","7902.2","1","82541346","24773009266","MARCO 039 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985523","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060750","","2823.04","1","30125077","9042851942","MARCO 037 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985522","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060746","","852.75","1","8682813","2610059988","MARCO 036 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985521","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060748","","1897.28","1","19727526","5924758586","MARCO 036 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985520","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060745","","2756.33","1","28025731","8414925298","MARCO 030 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985519","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060744","","1041.51","1","10702047","3215163306","MARCO 030 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985518","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060743","","133.77","1","1086103","328003088","MARCO 029 V4","WGS","METAGENOMIC","size fractionation"
"SRX21985517","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060742","","4897.91","1","51550780","15475382554","MARCO 003 V2","WGS","METAGENOMIC","size fractionation"
"SRX21985516","Shotgun metagenomic sequencing of stool samples from healthy volunteers and coeliac patients","gut metagenome","Illumina NovaSeq 6000","Quadram Institute Bioscience","SRP464441","Metagenomic sequencing data for stool samples from the MARCO human study","SRS19060741","","592.81","1","6046772","1817483688","MARCO 029 V2","WGS","METAGENOMIC","size fractionation"
